,TIME,DEPTH,PSAL
0,20105.368425925928,25,33.836
1,20105.491157407407,25,33.954
2,20105.565208333333,25,34.157000000000004
3,20105.645069444447,25,34.716
4,20105.727037037035,25,35.33
5,20105.84525462963,25,35.308
6,20105.942650462963,25,
7,20106.084444444445,25,35.27
8,20106.17216435185,25,35.234
9,20106.313587962963,25,35.229
10,20106.449675925924,25,35.255
11,20106.626493055555,25,35.186
12,20106.76800925926,25,
13,20107.04533564815,25,35.144
14,20107.240069444444,25,
15,20108.79909722222,25,35.211
16,20108.933819444446,25,35.21
17,20109.113715277777,25,35.214
18,20109.357500000002,25,35.235
19,20109.48917824074,25,35.215
20,20109.61883101852,25,33.31
21,20109.721793981484,25,35.183
22,20109.85861111111,25,34.72
23,20109.923958333333,25,34.096000000000004
24,20109.965011574073,25,34.318
25,20110.03394675926,25,33.383
26,20110.711550925927,25,34.178
27,20110.779664351852,25,34.322
28,20110.82728009259,25,34.678
29,20110.87829861111,25,34.709
30,20110.943310185186,25,34.778
31,20110.99053240741,25,34.772
32,20111.04097222222,25,34.703
33,20111.134293981482,25,34.772
34,20111.212627314813,25,35.018
35,20111.32516203704,25,35.112
36,20111.40670138889,25,35.127
37,20111.482476851852,25,35.161
38,20111.554490740742,25,35.143
39,20111.651863425926,25,35.14
40,20111.736203703706,25,35.149
41,20111.825092592593,25,35.13
42,20111.878657407407,25,35.089
43,20111.92787037037,25,35.022
44,20111.990046296294,25,34.893
45,20112.014884259257,25,34.398
46,20112.8465625,25,33.596000000000004
47,20112.882604166665,25,
48,20113.01266203704,25,35.11
49,20113.151018518518,25,35.115
50,20113.197164351852,25,35.301
51,20113.305856481482,25,35.179
52,20113.327569444446,25,
53,20113.390509259258,25,35.383
54,20113.521805555556,25,35.374
55,20113.64170138889,25,35.424
56,20114.173356481482,25,35.113
57,20114.28491898148,25,35.121
58,20114.339930555554,25,35.408
59,20114.408518518518,25,35.119
60,20114.482349537036,25,35.417
61,20114.504375,25,35.077
62,20114.608877314815,25,35.064
63,20114.66741898148,25,
64,20114.689525462964,25,35.025
65,20114.76949074074,25,34.914
66,20114.87460648148,25,34.89
67,20114.956516203703,25,34.676
68,20115.05284722222,25,34.634
69,20115.129016203704,25,34.550000000000004
70,20115.22087962963,25,34.653
71,20115.239733796294,25,35.4
72,20115.295787037037,25,34.6
73,20115.375868055555,25,34.552
74,20115.38084490741,25,35.335
75,20115.479166666668,25,34.444
76,20115.50752314815,25,35.379
77,20115.514872685188,25,34.479
78,20115.692731481482,25,35.363
79,20116.34050925926,25,35.316
80,20116.487037037037,25,35.319
81,20116.723425925924,25,35.347
82,20116.869606481483,25,35.225
83,20116.94009259259,25,35.308
84,20117.098912037036,25,35.338
85,20117.153402777778,25,35.367
86,20117.206574074076,25,35.359
87,20117.30675925926,25,35.33
88,20117.38548611111,25,35.326
89,20117.431689814814,25,35.322
90,20117.486886574075,25,35.332
91,20117.54201388889,25,35.386
92,20117.568622685187,25,35.387
93,20117.60185185185,25,35.299
94,20117.62732638889,25,34.844
95,20117.667094907407,25,34.949
96,20117.693460648148,25,34.221000000000004
97,20117.727118055554,25,33.97
98,20117.75996527778,25,33.916000000000004
99,20117.829247685186,25,34.018
100,20117.86199074074,25,34.11
101,20117.90921296296,25,34.135
102,20117.943449074075,25,34.026
103,20118.007847222223,25,33.65
104,20118.037743055556,25,33.971000000000004
105,20118.07324074074,25,33.847
106,20118.09267361111,25,33.868
107,20118.431168981482,25,
