,TIME,DEPTH,PSAL
0,19692.254652777778,25,32.634
1,19692.628032407407,25,33.199
2,19692.684050925924,25,33.185
3,19692.70900462963,25,33.391
4,19692.728078703705,25,33.493
5,19692.754166666666,25,33.432
6,19692.796828703704,25,33.485
7,19692.814421296298,25,33.476
8,19692.836527777778,25,33.532000000000004
9,19693.03357638889,25,32.686
10,19693.050648148146,25,33.164
11,19693.068287037036,25,33.189
12,19693.08523148148,25,32.981
13,19693.10162037037,25,32.864
14,19693.477129629628,25,32.622
15,19693.54962962963,25,32.578
16,19693.630949074075,25,32.849000000000004
17,19693.683287037038,25,32.84
18,19693.823645833334,25,32.903
19,19694.118668981482,25,32.69
20,19694.325856481482,25,32.351
21,19694.361782407406,25,32.429
22,19694.38221064815,25,32.386
23,19694.404895833333,25,32.349000000000004
24,19694.56545138889,25,32.798
25,19694.617071759258,25,32.628
26,19694.69244212963,25,32.917
27,19695.04265046296,25,33.172000000000004
28,19695.626342592594,25,32.529
29,19697.485254629628,25,32.609
30,19697.498645833333,25,32.605000000000004
31,19697.518888888888,25,32.653
32,19697.543344907408,25,32.486000000000004
33,19697.567858796294,25,33.222
34,19697.58576388889,25,32.61
35,19697.62346064815,25,32.606
36,19697.64998842593,25,32.46
37,19697.696122685185,25,32.432
38,19697.711284722223,25,33.135
39,19697.914548611112,25,32.751
40,19697.977256944443,25,32.757
41,19698.052604166667,25,32.658
42,19698.264224537037,25,33.123
43,19698.308622685185,25,33.356
44,19698.42417824074,25,32.524
45,19698.610729166667,25,33.339
46,19698.732916666668,25,32.410000000000004
47,19698.80144675926,25,33.154
48,19699.146030092594,25,32.543
49,19699.306030092594,25,32.314
50,19699.739618055555,25,32.892
51,19699.88394675926,25,31.86
52,19699.938877314813,25,35.025
53,19700.170601851853,25,35.008
54,19700.26103009259,25,32.531
55,19700.33179398148,25,35.14
56,19701.04949074074,25,32.557
57,19701.107627314814,25,32.568
58,19701.82888888889,25,32.616
59,19702.398252314815,25,32.331
60,19702.489131944447,25,32.354
61,19703.495717592592,25,32.694
62,19703.666469907406,25,32.623
63,19703.68435185185,25,32.627
64,19703.705625,25,32.664
65,19703.73215277778,25,32.779
66,19704.4840625,25,35.19
67,19704.76478009259,25,35.18
68,19705.055486111112,25,35.185
69,19705.218344907407,25,35.182
70,19705.374837962965,25,35.241
71,19705.610532407405,25,35.177
72,19705.792835648146,25,35.177
73,19706.722476851854,25,35.214
74,19706.89582175926,25,35.237
75,19707.025104166667,25,35.163000000000004
76,19707.139386574072,25,35.163000000000004
77,19707.287280092594,25,35.162
78,19707.42855324074,25,35.176
79,19707.649699074074,25,35.168
80,19707.85150462963,25,35.165
81,19708.06641203704,25,34.386
82,19708.19885416667,25,34.994
83,19708.459618055556,25,35.143
84,19708.92704861111,25,35.195
85,19709.127719907407,25,35.134
86,19709.30216435185,25,35.148
87,19709.49513888889,25,34.768
