,TIME,DEPTH,PRES
0,20423.152604166666,25,27.0
1,20423.69306712963,25,27.0
2,20424.222546296296,25,28.0
3,20424.403159722224,25,
4,20425.475555555557,25,
5,20425.50324074074,25,26.0
6,20425.54685185185,25,26.0
7,20425.571400462963,25,26.0
8,20425.602962962963,25,26.0
9,20425.63457175926,25,26.0
10,20425.688981481482,25,26.0
11,20425.75789351852,25,32.0
12,20425.79291666667,25,29.0
13,20425.829421296297,25,28.0
14,20425.864131944447,25,27.0
15,20425.90105324074,25,30.0
16,20427.94334490741,25,29.0
17,20427.943414351852,25,30.0
18,20428.02795138889,25,27.0
19,20428.116782407407,25,26.0
20,20428.199386574073,25,26.0
21,20428.27855324074,25,26.0
22,20428.398784722223,25,27.0
23,20429.030185185187,25,25.0
24,20429.23704861111,25,26.0
25,20429.3815625,25,26.0
26,20429.523553240742,25,26.0
27,20434.997951388887,25,26.0
28,20441.607083333332,25,25.0
29,20442.597488425927,25,25.0
30,20442.634872685183,25,26.0
31,20442.670636574072,25,25.0
32,20464.414282407408,25,26.0
33,20465.580162037037,25,26.0
34,20466.327199074072,25,29.0
35,20466.674953703703,25,27.0
36,20467.307476851853,25,27.0
37,20467.713032407406,25,28.0
38,20468.3278125,25,28.0
39,20468.464016203703,25,28.0
40,20468.660127314815,25,25.0
41,20469.387164351854,25,28.0
42,20469.564166666667,25,27.0
43,20470.297083333335,25,28.0
44,20470.587106481482,25,26.0
45,20470.75775462963,25,27.0
46,20471.29150462963,25,28.0
47,20471.435069444444,25,28.0
48,20471.590405092593,25,26.0
49,20471.753113425926,25,28.0
50,20472.349097222224,25,28.0
51,20472.39212962963,25,25.0
52,20472.562291666665,25,28.0
53,20473.578449074073,25,27.0
54,20473.902060185184,25,27.0
55,20473.977858796297,25,25.0
56,20474.053287037037,25,28.0
57,20474.125555555554,25,26.0
58,20474.191944444447,25,26.0
59,20474.311180555556,25,27.0
60,20474.391261574074,25,28.0
61,20474.50773148148,25,26.0
62,20474.597488425927,25,27.0
63,20474.72065972222,25,27.0
64,20474.862662037038,25,27.0
65,20475.06537037037,25,26.0
66,20475.23503472222,25,28.0
67,20475.418541666666,25,29.0
68,20475.63127314815,25,28.0
69,20477.04792824074,25,36.0
70,20477.193148148148,25,27.0
71,20477.223981481482,25,30.0
72,20477.543761574074,25,27.0
73,20477.714398148146,25,28.0
74,20477.801203703704,25,27.0
75,20477.862094907407,25,28.0
76,20477.97195601852,25,27.0
77,20478.050902777777,25,27.0
78,20478.115925925926,25,26.0
79,20478.22105324074,25,29.0
80,20478.301898148147,25,29.0
81,20478.470833333333,25,27.0
82,20478.519618055554,25,27.0
83,20478.649907407405,25,27.0
84,20478.670532407406,25,27.0
85,20478.87162037037,25,27.0
86,20478.950381944444,25,28.0
87,20479.163796296296,25,28.0
88,20479.327662037038,25,28.0
89,20479.48085648148,25,26.0
90,20479.5890625,25,27.0
91,20479.743900462963,25,28.0
92,20480.292789351854,25,30.0
93,20480.414166666666,25,29.0
94,20480.508854166666,25,26.0
95,20480.60148148148,25,27.0
96,20480.65832175926,25,25.0
97,20480.683483796296,25,26.0
98,20480.731087962962,25,28.0
99,20480.744270833333,25,28.0
100,20480.79189814815,25,28.0
101,20480.842291666668,25,28.0
102,20480.905671296296,25,30.0
103,20481.01355324074,25,26.0
104,20481.102349537035,25,26.0
105,20481.21295138889,25,28.0
106,20481.309895833332,25,28.0
107,20481.314270833333,25,28.0
108,20481.418055555554,25,28.0
109,20481.454687499998,25,28.0
110,20481.49840277778,25,28.0
111,20481.540891203706,25,26.0
112,20481.597326388888,25,26.0
113,20481.67101851852,25,28.0
114,20481.68783564815,25,26.0
115,20481.742800925927,25,29.0
116,20481.80023148148,25,26.0
117,20481.868310185186,25,31.0
118,20481.935810185187,25,28.0
119,20481.94263888889,25,27.0
120,20481.971215277776,25,26.0
121,20481.992222222223,25,25.0
122,20481.99247685185,25,26.0
123,20482.02996527778,25,26.0
124,20482.049988425926,25,27.0
125,20482.0621875,25,26.0
126,20482.12728009259,25,26.0
127,20482.15979166667,25,27.0
128,20482.22297453704,25,28.0
129,20482.278159722224,25,29.0
130,20482.33440972222,25,28.0
131,20482.363819444447,25,27.0
132,20482.40403935185,25,28.0
133,20482.433900462962,25,27.0
134,20482.470150462963,25,28.0
135,20482.497430555555,25,27.0
136,20482.53140046296,25,26.0
137,20482.56701388889,25,27.0
138,20482.61326388889,25,27.0
139,20482.649467592593,25,28.0
140,20482.706724537038,25,28.0
141,20482.77306712963,25,29.0
142,20482.850844907407,25,29.0
143,20482.912476851852,25,29.0
144,20482.9759375,25,27.0
145,20483.034641203703,25,26.0
146,20484.89523148148,25,27.0
147,20484.926215277777,25,30.0
148,20484.99736111111,25,28.0
149,20485.093958333335,25,28.0
150,20485.16597222222,25,29.0
151,20485.238634259258,25,27.0
152,20485.37303240741,25,27.0
153,20485.444826388888,25,27.0
154,20485.544456018517,25,29.0
155,20485.617280092592,25,29.0
156,20485.72202546296,25,25.0
157,20485.798125,25,26.0
158,20485.869143518517,25,27.0
159,20485.96315972222,25,27.0
160,20486.04037037037,25,27.0
161,20486.145960648148,25,28.0
162,20486.22212962963,25,28.0
163,20486.31931712963,25,27.0
164,20486.44659722222,25,28.0
165,20487.702696759257,25,26.0
166,20487.81644675926,25,26.0
167,20487.910011574073,25,26.0
168,20488.018206018518,25,26.0
169,20488.133009259258,25,26.0
170,20488.235891203705,25,26.0
171,20488.334826388887,25,26.0
172,20488.43130787037,25,28.0
173,20488.5184375,25,26.0
174,20488.59954861111,25,26.0
175,20488.70204861111,25,26.0
176,20488.84681712963,25,25.0
177,20488.92945601852,25,26.0
178,20489.010787037038,25,27.0
179,20489.10269675926,25,26.0
180,20489.19820601852,25,27.0
181,20489.264675925926,25,26.0
182,20489.347465277777,25,26.0
183,20489.453958333335,25,26.0
184,20489.537372685187,25,26.0
185,20489.611261574075,25,26.0
186,20489.84636574074,25,26.0
187,20489.932939814815,25,26.0
188,20490.004085648146,25,26.0
189,20490.11820601852,25,27.0
190,20490.193854166668,25,25.0
191,20490.294409722224,25,27.0
192,20490.473483796297,25,27.0
193,20490.59480324074,25,26.0
194,20490.975347222222,25,27.0
195,20491.114050925924,25,27.0
196,20491.221875,25,28.0
197,20491.5325,25,26.0
198,20491.65912037037,25,26.0
199,20491.72740740741,25,26.0
200,20491.798703703706,25,26.0
201,20491.870787037038,25,26.0
202,20492.491805555557,25,25.0
203,20492.552037037036,25,25.0
204,20492.591018518517,25,26.0
205,20492.637546296297,25,26.0
206,20492.671388888888,25,26.0
207,20492.70449074074,25,27.0
208,20492.735,25,26.0
209,20492.764537037037,25,26.0
210,20492.79300925926,25,
211,20492.82185185185,25,
212,20493.630694444444,25,27.0
213,20494.405891203704,25,26.0
214,20494.472002314815,25,
215,20494.516574074074,25,27.0
216,20494.570659722223,25,26.0
217,20494.618530092594,25,26.0
218,20494.68366898148,25,28.0
219,20494.73922453704,25,27.0
220,20494.797939814813,25,26.0
221,20494.87278935185,25,26.0
222,20494.956631944446,25,26.0
223,20495.019050925926,25,27.0
224,20495.084375000002,25,26.0
225,20495.12261574074,25,26.0
226,20495.17701388889,25,26.0
227,20495.241550925926,25,26.0
228,20495.323726851853,25,26.0
229,20495.391412037035,25,27.0
230,20495.456550925926,25,28.0
231,20495.502141203706,25,29.0
232,20495.60991898148,25,26.0
233,20495.71715277778,25,26.0
234,20495.82321759259,25,27.0
235,20495.918958333332,25,26.0
236,20495.937662037035,25,26.0
237,20496.015532407408,25,27.0
238,20496.096828703703,25,26.0
239,20496.172569444443,25,26.0
240,20496.206099537038,25,28.0
241,20496.431828703706,25,25.0
242,20496.474097222224,25,28.0
243,20496.69210648148,25,26.0
244,20496.75335648148,25,27.0
245,20497.02565972222,25,27.0
246,20497.049016203706,25,28.0
247,20497.285590277777,25,26.0
248,20497.28744212963,25,26.0
249,20497.29295138889,25,27.0
250,20497.46002314815,25,26.0
251,20497.542083333334,25,29.0
252,20497.575069444447,25,28.0
253,20497.651701388888,25,28.0
254,20497.762685185186,25,25.0
255,20497.803877314815,25,26.0
256,20497.821435185186,25,27.0
257,20497.92363425926,25,26.0
258,20498.075671296294,25,27.0
259,20498.133194444443,25,28.0
260,20498.421863425927,25,26.0
261,20498.716770833333,25,26.0
262,20498.830601851852,25,26.0
263,20499.007777777777,25,27.0
264,20499.110115740743,25,26.0
265,20499.346006944445,25,27.0
266,20499.485694444444,25,27.0
267,20499.565763888888,25,27.0
268,20499.771921296295,25,26.0
269,20499.819594907407,25,25.0
270,20499.99541666667,25,27.0
271,20500.08175925926,25,26.0
272,20500.3003125,25,26.0
273,20500.352719907405,25,27.0
274,20500.48767361111,25,27.0
275,20500.626157407405,25,26.0
276,20500.6809375,25,27.0
277,20500.898564814815,25,26.0
278,20500.94753472222,25,25.0
279,20501.10871527778,25,26.0
280,20501.130081018517,25,26.0
281,20501.194733796296,25,26.0
282,20501.216145833332,25,26.0
283,20501.294247685186,25,26.0
284,20501.310081018517,25,27.0
285,20501.37984953704,25,27.0
286,20501.44045138889,25,26.0
287,20501.51309027778,25,26.0
288,20501.584155092594,25,26.0
289,20501.600775462965,25,27.0
290,20501.65105324074,25,27.0
291,20501.75037037037,25,26.0
292,20501.768541666668,25,25.0
293,20501.831296296295,25,27.0
294,20501.88886574074,25,26.0
295,20501.960451388888,25,27.0
296,20501.997268518517,25,25.0
297,20502.10471064815,25,28.0
298,20502.220578703706,25,26.0
299,20502.283657407406,25,26.0
300,20502.33491898148,25,26.0
301,20502.507395833334,25,27.0
302,20502.564247685186,25,27.0
303,20502.61394675926,25,26.0
304,20502.671122685188,25,26.0
305,20502.89920138889,25,27.0
306,20502.9284375,25,26.0
307,20502.972395833334,25,26.0
308,20503.06314814815,25,27.0
309,20503.195185185185,25,27.0
310,20503.203449074073,25,27.0
311,20503.331527777777,25,26.0
312,20503.405613425926,25,26.0
313,20503.537939814814,25,26.0
314,20503.566319444446,25,25.0
315,20503.657974537036,25,27.0
316,20503.76241898148,25,27.0
317,20503.83701388889,25,26.0
318,20503.91167824074,25,27.0
319,20504.053784722222,25,26.0
320,20504.084583333333,25,26.0
321,20504.236666666668,25,25.0
322,20504.325868055555,25,27.0
323,20504.366828703704,25,27.0
324,20504.40884259259,25,26.0
325,20504.59671296296,25,27.0
326,20504.630381944444,25,28.0
327,20504.68255787037,25,27.0
328,20504.82159722222,25,28.0
329,20504.871261574073,25,27.0
330,20504.92523148148,25,25.0
331,20504.98148148148,25,27.0
332,20505.078877314812,25,27.0
333,20505.134664351852,25,29.0
334,20505.18736111111,25,27.0
335,20505.24164351852,25,26.0
336,20505.345185185186,25,27.0
337,20505.380208333332,25,25.0
338,20505.533194444444,25,27.0
339,20505.62664351852,25,26.0
340,20505.650289351852,25,27.0
341,20505.79909722222,25,26.0
342,20505.899479166666,25,26.0
343,20505.915810185186,25,26.0
344,20505.96185185185,25,26.0
345,20506.09298611111,25,26.0
346,20506.111539351852,25,27.0
347,20506.170358796295,25,27.0
348,20506.327627314815,25,27.0
349,20506.39232638889,25,27.0
350,20506.449502314816,25,28.0
351,20506.619594907406,25,28.0
352,20506.664016203704,25,29.0
353,20506.74934027778,25,28.0
354,20506.806828703706,25,27.0
355,20506.848854166667,25,25.0
356,20506.98565972222,25,26.0
357,20507.07170138889,25,27.0
358,20507.18755787037,25,28.0
359,20507.34767361111,25,28.0
360,20507.44790509259,25,26.0
361,20507.595648148148,25,28.0
362,20507.73039351852,25,27.0
363,20507.810891203702,25,28.0
364,20507.980868055554,25,33.0
365,20508.18222222222,25,27.0
366,20512.05238425926,25,26.0
367,20512.25863425926,25,32.0
368,20512.62111111111,25,27.0
369,20512.650486111113,25,28.0
370,20512.85744212963,25,29.0
371,20512.973402777778,25,28.0
372,20513.14039351852,25,26.0
373,20513.209351851852,25,27.0
374,20513.3727662037,25,30.0
375,20513.582893518516,25,27.0
376,20513.66400462963,25,28.0
377,20513.87334490741,25,30.0
378,20513.890104166665,25,27.0
379,20514.071215277778,25,26.0
380,20514.100127314814,25,28.0
381,20514.35380787037,25,26.0
382,20514.388842592594,25,32.0
383,20514.589340277777,25,27.0
384,20514.679131944446,25,27.0
385,20514.80835648148,25,26.0
386,20514.924525462964,25,32.0
387,20515.049074074075,25,29.0
388,20515.18511574074,25,27.0
389,20515.40275462963,25,28.0
390,20515.439583333333,25,34.0
391,20515.61144675926,25,27.0
392,20515.667881944446,25,25.0
393,20515.713275462964,25,26.0
394,20515.71945601852,25,36.0
395,20515.730659722223,25,25.0
396,20515.752858796295,25,26.0
397,20515.807395833333,25,26.0
398,20515.831238425926,25,26.0
399,20515.855821759258,25,27.0
400,20515.87752314815,25,26.0
401,20515.87767361111,25,26.0
402,20515.96792824074,25,26.0
403,20516.124594907407,25,28.0
404,20516.20513888889,25,27.0
405,20516.44917824074,25,33.0
406,20516.597858796296,25,28.0
407,20516.78255787037,25,33.0
408,20516.858391203703,25,27.0
409,20516.996655092593,25,27.0
410,20517.070636574073,25,25.0
411,20517.086921296297,25,25.0
412,20517.11752314815,25,25.0
413,20517.11815972222,25,28.0
414,20517.161979166667,25,26.0
415,20517.20863425926,25,26.0
416,20517.230648148146,25,26.0
417,20517.251921296298,25,26.0
418,20517.295474537037,25,33.0
419,20517.295659722222,25,27.0
420,20517.319409722222,25,26.0
421,20517.341886574075,25,26.0
422,20517.361851851852,25,26.0
423,20517.398483796296,25,27.0
424,20517.419212962963,25,27.0
425,20517.430300925927,25,26.0
426,20517.43482638889,25,26.0
427,20517.44465277778,25,26.0
428,20517.46486111111,25,
429,20517.477523148147,25,26.0
430,20517.52443287037,25,26.0
431,20517.54917824074,25,25.0
432,20517.57351851852,25,25.0
433,20517.58431712963,25,25.0
434,20517.597569444446,25,25.0
435,20517.624363425926,25,25.0
436,20517.65622685185,25,25.0
437,20517.679097222222,25,25.0
438,20517.695428240742,25,25.0
439,20517.7318287037,25,27.0
440,20517.78753472222,25,36.0
441,20517.958773148148,25,25.0
442,20517.971539351853,25,26.0
443,20517.99027777778,25,25.0
444,20517.994594907406,25,28.0
445,20518.020092592593,25,25.0
446,20518.049525462964,25,25.0
447,20518.104953703703,25,25.0
448,20518.12721064815,25,25.0
449,20518.13755787037,25,26.0
450,20518.160590277777,25,25.0
451,20518.182824074076,25,25.0
452,20518.19921296296,25,25.0
453,20518.24384259259,25,26.0
454,20518.266087962962,25,26.0
455,20518.295729166664,25,26.0
456,20518.361689814814,25,27.0
457,20518.378425925926,25,26.0
458,20518.3962037037,25,26.0
459,20518.452962962965,25,26.0
460,20518.469212962962,25,25.0
461,20518.493379629628,25,26.0
462,20518.514444444445,25,25.0
463,20519.46159722222,25,25.0
464,20519.90204861111,25,26.0
465,20519.937094907407,25,34.0
466,20519.963993055553,25,28.0
467,20520.0571875,25,29.0
468,20520.166712962964,25,28.0
469,20520.219618055555,25,32.0
470,20520.250787037035,25,27.0
471,20520.325358796297,25,26.0
472,20520.426875,25,27.0
473,20520.499039351853,25,29.0
474,20520.60716435185,25,26.0
475,20520.68082175926,25,30.0
476,20520.710972222223,25,27.0
477,20520.790844907406,25,26.0
478,20520.861412037037,25,27.0
479,20521.06252314815,25,28.0
480,20521.067858796294,25,27.0
481,20521.18332175926,25,27.0
482,20521.30400462963,25,26.0
483,20521.345312499998,25,26.0
484,20521.367974537035,25,27.0
485,20521.382627314815,25,26.0
486,20521.391886574074,25,26.0
487,20521.408969907407,25,26.0
488,20521.42577546296,25,26.0
489,20521.44434027778,25,26.0
490,20521.446354166666,25,26.0
491,20521.483506944445,25,25.0
492,20521.50008101852,25,25.0
493,20521.52082175926,25,25.0
494,20521.52513888889,25,27.0
495,20521.549386574075,25,25.0
496,20521.57517361111,25,25.0
497,20521.584537037037,25,26.0
498,20521.590046296296,25,25.0
499,20521.608055555556,25,26.0
500,20521.62454861111,25,25.0
501,20521.643043981483,25,25.0
502,20521.65983796296,25,25.0
