,TIME,DEPTH,TEMP
0,19631.246273148146,25,14.438
1,19631.84869212963,25,14.200000000000001
2,19632.011898148146,25,14.012
3,19632.29789351852,25,13.729000000000001
4,19632.499282407407,25,14.39
5,19633.131875,25,14.5
6,19633.39579861111,25,13.757
7,19633.72869212963,25,13.062
8,19633.93357638889,25,13.214
9,19634.86212962963,25,12.988
10,19635.105185185184,25,12.901
11,19641.326412037037,25,10.315
12,19641.429247685184,25,10.49
13,19641.529224537036,25,10.827
14,19641.616828703704,25,10.96
15,19641.69636574074,25,11.389000000000001
16,19648.21554398148,25,11.471
17,19648.315949074076,25,11.369
18,19648.411145833332,25,11.177
19,19648.71537037037,25,11.57
20,19648.796805555558,25,11.338000000000001
21,19648.91833333333,25,11.096
22,19649.047118055558,25,11.346
23,19649.142256944444,25,11.292
24,19649.25445601852,25,10.778
25,19649.358263888887,25,11.146
26,19649.426550925924,25,12.25
27,19649.42740740741,25,11.141
28,19649.456597222223,25,
29,19649.532291666666,25,10.834
30,19649.637002314816,25,11.534
31,19649.74332175926,25,10.907
32,19649.911238425924,25,10.802
33,19650.153599537036,25,10.983
34,19650.209328703702,25,10.415000000000001
35,19650.2162037037,25,11.034
36,19650.28923611111,25,10.912
37,19650.403171296297,25,11.845
38,19650.61517361111,25,10.705
39,19650.647696759257,25,10.939
40,19650.694444444445,25,11.926
41,19650.99832175926,25,11.779
42,19651.005243055555,25,10.883000000000001
43,19651.030208333334,25,12.211
44,19651.134849537037,25,10.461
45,19651.339016203703,25,12.049
46,19651.379756944447,25,12.105
47,19651.638356481482,25,10.616
48,19651.944444444445,25,10.731
49,19652.187280092592,25,11.01
50,19652.5134375,25,10.966000000000001
51,19652.67042824074,25,10.995000000000001
52,19652.92638888889,25,11.11
53,19652.937997685185,25,10.99
54,19653.09107638889,25,10.675
55,19653.37821759259,25,10.673
56,19653.58832175926,25,10.532
57,19653.70244212963,25,10.67
58,19653.734733796296,25,10.762
59,19653.749270833334,25,10.715
60,19653.932997685184,25,10.717
61,19654.07363425926,25,10.163
62,19654.268958333334,25,10.895
63,19654.604386574076,25,10.216000000000001
64,19654.92815972222,25,10.601
65,19655.120844907407,25,10.518
66,19655.357939814814,25,10.746
67,19655.462627314813,25,10.556000000000001
68,19655.818043981482,25,10.743
69,19655.903136574074,25,10.496
70,19656.016655092593,25,8.211
71,19656.1596875,25,10.536
72,19656.406516203704,25,10.315
73,19656.494247685183,25,11.688
74,19656.776574074076,25,10.466000000000001
75,19656.874131944445,25,10.537
76,19656.968402777777,25,10.531
77,19657.132002314815,25,10.281
78,19657.261273148146,25,12.233
79,19657.454305555555,25,10.361
80,19657.89130787037,25,10.540000000000001
81,19658.537083333333,25,12.417
82,19658.57284722222,25,11.537
83,19658.616921296296,25,10.47
84,19658.654513888887,25,10.703
85,19658.693842592595,25,11.127
86,19658.73386574074,25,11.282
87,19658.77496527778,25,10.427
88,19658.82096064815,25,10.963000000000001
89,19658.862233796295,25,10.52
90,19658.9021875,25,10.479000000000001
91,19658.940381944445,25,10.115
