,TIME,DEPTH,TEMP,CNDC,PRES,PSAL
0,20058.224687500002,25,11.321,37.767,25.0,33.429
1,20058.30101851852,25,11.82,38.167,26.0,33.37
2,20058.50553240741,25,11.814,38.118,26.0,33.327
3,20058.587106481482,25,11.687,37.929,26.0,33.257
4,20058.667546296296,25,9.214,35.252,26.0,32.812
5,20058.97275462963,25,8.795,35.052,26.0,32.992
6,20059.76400462963,25,10.542,36.929,26.0,33.303
7,20059.953541666666,25,11.261000000000001,37.481,25.0,33.2
8,20060.444930555557,25,11.405,37.724000000000004,26.0,33.31
9,20060.511458333334,25,11.358,37.722,26.0,33.35
10,20060.655902777777,25,8.476,34.314,27.0,32.513
11,20060.75650462963,25,8.598,34.722,25.0,32.83
12,20060.766030092593,25,8.429,34.57,25.0,32.827
13,20060.791226851852,25,8.874,34.999,27.0,32.864
14,20061.250428240743,25,10.437,36.606,26.0,33.074
15,20061.315960648146,25,10.867,37.265,26.0,33.343
16,20061.430416666666,25,10.532,36.889,25.0,33.273
17,20061.511574074073,25,8.465,34.46,25.0,32.678
18,20061.55119212963,25,8.372,34.63,27.0,32.943
19,20062.71056712963,25,10.804,37.151,26.0,33.287
20,20062.978900462964,25,7.482,35.663000000000004,26.0,34.915
21,20063.996574074074,25,6.743,32.681,25.0,32.376
22,20064.008703703705,25,6.892,35.33,26.0,35.149
23,20064.014189814814,25,6.104,32.059,26.0,32.293
24,20064.03684027778,25,5.699,31.579,25.0,32.141
25,20064.059131944447,25,5.0,30.89,25.0,32.027
26,20064.08203703704,25,5.633,31.552,25.0,32.174
27,20064.215717592593,25,9.587,36.15,26.0,33.393
28,20064.44855324074,25,7.371,35.76,25.0,35.134
29,20064.66696759259,25,7.930000000000001,33.374,26.0,32.02
30,20064.916712962964,25,7.067,35.375,27.0,35.02
31,20064.94921296296,25,9.83,35.109,26.0,32.108000000000004
32,20065.13221064815,25,7.442,35.742,27.0,35.042
33,20065.276631944445,25,6.51,30.432000000000002,26.0,30.124000000000002
34,20065.408043981482,25,7.3870000000000005,34.5,27.0,33.744
35,20065.614872685186,25,7.521,35.871,25.0,35.103
36,20065.634270833332,25,8.758000000000001,33.230000000000004,26.0,31.127
37,20065.854247685184,25,9.043000000000001,34.325,26.0,32.008
38,20066.870636574076,25,7.734,34.033,27.0,32.907000000000004
39,20066.93105324074,25,7.586,33.833,25.0,32.832
40,20067.063125,25,7.559,33.79,25.0,32.812
41,20067.0993287037,25,7.771,33.999,27.0,32.836
42,20067.129155092593,25,8.149000000000001,34.424,26.0,32.934
43,20067.162766203703,25,9.468,35.838,26.0,33.183
44,20067.909247685184,25,5.314,31.253,25.0,32.14
45,20067.94585648148,25,7.058,33.437,25.0,32.906
46,20067.983252314814,25,7.117,33.405,25.0,32.813
47,20068.282233796297,25,9.450000000000001,35.619,26.0,32.973
48,20068.342395833333,25,9.456,35.657000000000004,26.0,33.007
49,20068.51511574074,25,8.978,35.156,27.0,32.929
50,20068.559189814816,25,7.602,33.775,26.0,32.754
51,20068.637847222224,25,7.564,33.601,26.0,32.604
52,20069.396516203702,25,6.694,32.768,26.0,32.518
53,20069.433900462962,25,6.758,32.774,26.0,32.464
54,20069.998888888887,25,6.963,35.404,27.0,35.158
55,20070.53898148148,25,7.325,35.552,25.0,34.953
56,20070.962731481482,25,6.704,32.975,26.0,32.735
57,20071.301828703705,25,9.415000000000001,35.865,27.0,33.259
58,20071.32866898148,25,9.224,35.674,26.0,33.24
59,20071.35446759259,25,8.888,35.316,26.0,33.181
60,20071.398078703704,25,8.042,34.418,25.0,33.029
61,20071.44724537037,25,6.897,33.238,26.0,32.839
62,20071.584780092595,25,8.752,34.952,26.0,32.928
63,20071.627708333333,25,7.65,33.667,27.0,32.592
64,20071.670844907407,25,7.6000000000000005,33.716,28.0,32.693
65,20071.989537037036,25,6.758,32.456,28.0,32.114
66,20072.0221875,25,7.074,32.701,26.0,32.088
67,20072.050717592592,25,7.275,32.899,27.0,32.115
68,20073.28447916667,25,8.023,33.512,26.0,32.082
69,20073.34996527778,25,7.8020000000000005,33.468,27.0,32.238
70,20073.38314814815,25,8.772,34.554,26.0,32.492
71,20073.472916666666,25,8.543000000000001,34.389,26.0,32.531
72,20073.685868055556,25,6.676,32.376,27.0,32.103
73,20073.745752314815,25,6.626,32.384,26.0,32.160000000000004
74,20073.759131944444,25,6.454,32.660000000000004,25.0,32.628
75,20073.79061342593,25,6.759,32.837,26.0,32.532000000000004
76,20074.003113425926,25,7.727,33.257,26.0,32.082
77,20074.056122685186,25,8.251,33.93,25.0,32.316
78,20074.19755787037,25,6.316,32.578,26.0,32.668
79,20074.21377314815,25,6.415,32.679,25.0,32.686
80,20074.233032407406,25,6.41,32.671,25.0,32.682
81,20074.25298611111,25,6.571,32.864,25.0,32.742
82,20074.47297453704,25,7.45,35.626,25.0,34.908
83,20074.79840277778,25,6.869,32.983000000000004,25.0,32.588
