,TIME,DEPTH,PRES
0,19617.610752314813,25,26.0
1,19617.78516203704,25,27.0
2,19618.17172453704,25,27.0
3,19619.869965277776,25,28.0
4,19619.911631944444,25,27.0
5,19620.07994212963,25,27.0
6,19620.396631944444,25,26.0
7,19620.54978009259,25,26.0
8,19620.701087962963,25,26.0
9,19620.83210648148,25,27.0
10,19620.961608796297,25,26.0
11,19621.185104166667,25,26.0
12,19621.305729166666,25,26.0
13,19621.519652777777,25,26.0
14,19621.703703703704,25,27.0
15,19621.95179398148,25,28.0
16,19622.06402777778,25,27.0
17,19622.241875,25,26.0
18,19622.3853125,25,26.0
19,19622.557604166668,25,27.0
20,19622.72164351852,25,27.0
21,19622.900381944444,25,26.0
22,19623.06824074074,25,28.0
23,19623.62796296296,25,26.0
24,19623.788541666665,25,27.0
25,19623.976666666666,25,26.0
26,19624.169074074074,25,27.0
27,19624.346782407407,25,26.0
28,19624.57222222222,25,27.0
29,19624.73833333333,25,27.0
30,19624.962893518517,25,28.0
31,19625.20320601852,25,27.0
32,19625.368252314813,25,27.0
33,19625.59482638889,25,27.0
34,19625.764467592595,25,27.0
35,19626.03421296296,25,26.0
36,19626.241574074073,25,27.0
37,19626.418796296297,25,55.0
38,19626.599097222224,25,27.0
39,19626.724131944444,25,27.0
40,19626.909976851854,25,27.0
41,19630.76009259259,25,27.0
42,19630.98329861111,25,27.0
43,19631.246273148146,25,26.0
44,19631.84869212963,25,26.0
45,19632.011898148146,25,27.0
46,19632.29789351852,25,26.0
47,19632.499282407407,25,27.0
48,19633.131875,25,28.0
49,19633.39579861111,25,27.0
50,19633.72869212963,25,26.0
51,19633.93357638889,25,26.0
52,19634.86212962963,25,26.0
53,19635.105185185184,25,27.0
54,19641.326412037037,25,29.0
55,19641.429247685184,25,31.0
56,19641.529224537036,25,27.0
57,19641.616828703704,25,29.0
58,19641.69636574074,25,30.0
59,19648.21554398148,25,26.0
60,19648.315949074076,25,26.0
61,19648.411145833332,25,26.0
62,19648.71537037037,25,26.0
63,19648.796805555558,25,27.0
64,19648.91833333333,25,25.0
65,19649.047118055558,25,27.0
66,19649.142256944444,25,26.0
67,19649.25445601852,25,26.0
68,19649.358263888887,25,27.0
69,19649.426550925924,25,26.0
70,19649.42740740741,25,26.0
71,19649.456597222223,25,
72,19649.532291666666,25,26.0
73,19649.637002314816,25,26.0
74,19649.74332175926,25,27.0
75,19649.911238425924,25,26.0
76,19650.153599537036,25,25.0
77,19650.209328703702,25,26.0
78,19650.2162037037,25,26.0
